"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart";"Escola Conectada"
"27023265";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27023281";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27023290";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023303";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023370";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023389";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27023400";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023451";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023478";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27219755";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Sim"
"27023508";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023524";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27240002";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27023621";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023648";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023664";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023672";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023702";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023710";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023753";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
