"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"27023834";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023869";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27055060";"B";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";
"27054080";"B";"Nordeste II";"AL";"Coqueiro Seco";"Sim";"Sim";"Não";
"27024903";"B";"Nordeste II";"AL";"União dos Palmares";"Sim";"Sim";"Não";
"27022820";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27025004";"B";"Nordeste II";"AL";"União dos Palmares";"Sim";"Sim";"Não";
"27025136";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27025144";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27025160";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27025306";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27025322";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27025373";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27022870";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27025578";"B";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";
"27026221";"B";"Nordeste II";"AL";"Atalaia";"Sim";"Sim";"Não";
"27026230";"B";"Nordeste II";"AL";"Atalaia";"Sim";"Sim";"Não";
"27026396";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026426";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026442";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026469";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026477";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026493";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026515";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026540";"B";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";
"27026779";"B";"Nordeste II";"AL";"Cajueiro";"Sim";"Sim";"Não";
"27026817";"B";"Nordeste II";"AL";"Cajueiro";"Sim";"Sim";"Não";
"27027058";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027104";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027180";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027198";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027236";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027341";"B";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";
"27027759";"B";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";
"27027830";"B";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";
"27027929";"B";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";
"27027937";"B";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";
"27028437";"B";"Nordeste II";"AL";"Jacuípe";"Sim";"Sim";"Não";
"27028534";"B";"Nordeste II";"AL";"Jacuípe";"Sim";"Sim";"Não";
"27028674";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27028682";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27028712";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27028739";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27028810";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27053423";"B";"Nordeste II";"AL";"Igreja Nova";"Sim";"Sim";"Não";
"27028941";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27028976";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27055094";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27029069";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27029085";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27029174";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27042723";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27029239";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27029263";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27029344";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27029409";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27043835";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27029794";"B";"Nordeste II";"AL";"Matriz de Camaragibe";"Sim";"Sim";"Não";
"27029832";"B";"Nordeste II";"AL";"Matriz de Camaragibe";"Sim";"Sim";"Não";
"27030113";"B";"Nordeste II";"AL";"Messias";"Sim";"Sim";"Não";
"27030369";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27030431";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27030440";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27030466";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27030490";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27030555";"B";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";
"27031837";"B";"Nordeste II";"AL";"São Luís do Quitunde";"Sim";"Sim";"Não";
"27032000";"B";"Nordeste II";"AL";"Barra de Santo Antônio";"Sim";"Sim";"Não";
"27032116";"B";"Nordeste II";"AL";"São Luís do Quitunde";"Sim";"Sim";"Não";
"27032299";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27032329";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27032361";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27032396";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27032400";"B";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";
"27032779";"B";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";
"27032833";"B";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";
"27032841";"B";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";
"27032850";"B";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";
"27033040";"B";"Nordeste II";"AL";"Passo de Camaragibe";"Sim";"Sim";"Não";
"27033066";"B";"Nordeste II";"AL";"Passo de Camaragibe";"Sim";"Sim";"Não";
"27033082";"B";"Nordeste II";"AL";"Passo de Camaragibe";"Sim";"Sim";"Não";
"27044076";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27033414";"B";"Nordeste II";"AL";"Porto de Pedras";"Sim";"Sim";"Não";
"27028852";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27033511";"B";"Nordeste II";"AL";"Porto de Pedras";"Sim";"Sim";"Não";
"27033546";"B";"Nordeste II";"AL";"Porto de Pedras";"Sim";"Sim";"Não";
"27033589";"B";"Nordeste II";"AL";"Porto de Pedras";"Sim";"Sim";"Não";
"27029018";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27049493";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27033848";"B";"Nordeste II";"AL";"São Miguel dos Milagres";"Sim";"Sim";"Não";
"27033856";"B";"Nordeste II";"AL";"São Miguel dos Milagres";"Sim";"Sim";"Não";
"27033902";"B";"Nordeste II";"AL";"São Miguel dos Milagres";"Sim";"Sim";"Não";
"27033970";"B";"Nordeste II";"AL";"Barra de Santo Antônio";"Sim";"Sim";"Não";
"27034054";"B";"Nordeste II";"AL";"Barra de Santo Antônio";"Sim";"Sim";"Não";
"27036235";"B";"Nordeste II";"AL";"Maceió";"Sim";"Sim";"Não";
"27049507";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27216837";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27039285";"B";"Nordeste II";"AL";"Marechal Deodoro";"Sim";"Sim";"Não";
"27040313";"B";"Nordeste II";"AL";"Rio Largo";"Sim";"Sim";"Não";
"27041816";"B";"Nordeste II";"AL";"Boca da Mata";"Sim";"Sim";"Não";
